experiment_name,config_name,group,runs,cer_mean,cer_std,exact_mean,exact_std,samples_mean,chars_mean
predicted_shape_main,shape_weighted,overall,3,0.3433982683982684,0.09375057391927177,0.26473859844271413,0.14300474909889388,899.0,6160.0
predicted_shape_main,shape_weighted,rect,3,0.20214521452145215,0.08529242290780069,0.3900946021146355,0.20213666686324666,599.0,4040.0
predicted_shape_main,shape_weighted,sample_class:source:imported_sg,3,0.6416526138279932,0.10898445262125635,0.0021231422505307855,0.0036773902496154507,157.0,1186.0
predicted_shape_main,shape_weighted,sample_class:source:imported_usa,3,0.6157760814249363,0.09962733817023864,0.017543859649122806,0.030386856273138196,19.0,131.0
predicted_shape_main,shape_weighted,sample_class:source:native_eu,3,0.26299125886158714,0.09007758122290702,0.32826187183033656,0.17622420335284825,723.0,4843.0
predicted_shape_main,shape_weighted,sample_class:style:black_on_yellow,3,0.2905982905982906,0.09245003270420486,0.19607843137254902,0.18909119139201871,17.0,117.0
predicted_shape_main,shape_weighted,sample_class:style:white_on_black,3,0.49855072463768113,0.16643335907194887,0.09803921568627451,0.1698089027028311,17.0,115.0
predicted_shape_main,shape_weighted,sample_class:style:white_on_blue,3,0.3644859813084112,0.17903966411839267,0.14583333333333334,0.2009093908540199,16.0,107.0
predicted_shape_main,shape_weighted,sample_class:style:white_on_green,3,0.4954954954954955,0.17995481401295657,0.09803921568627451,0.1698089027028311,17.0,111.0
predicted_shape_main,shape_weighted,sample_class:style:white_on_red,3,0.576923076923077,0.178079415167809,0.041666666666666664,0.07216878364870322,16.0,104.0
predicted_shape_main,shape_weighted,square,3,0.6125786163522012,0.1121276454592317,0.014444444444444446,0.025018511664883784,300.0,2120.0
predicted_shape_main,synthetic_curriculum,overall,3,0.2966991341991342,0.17092678348270798,0.3359288097886541,0.24468348449526964,899.0,6160.0
predicted_shape_main,synthetic_curriculum,rect,3,0.18415841584158416,0.17921817704910797,0.48358375069560383,0.34942304427566545,599.0,4040.0
predicted_shape_main,synthetic_curriculum,sample_class:source:imported_sg,3,0.5267003934794828,0.13840669274652487,0.012738853503184714,0.012738853503184714,157.0,1186.0
predicted_shape_main,synthetic_curriculum,sample_class:source:imported_usa,3,0.5139949109414759,0.18966559952757478,0.08771929824561403,0.08039606482378667,19.0,131.0
predicted_shape_main,synthetic_curriculum,sample_class:source:native_eu,3,0.23449652419299333,0.17870379863315763,0.4126325495620102,0.29985560534084593,723.0,4843.0
predicted_shape_main,synthetic_curriculum,sample_class:style:black_on_yellow,3,0.21367521367521367,0.19263978922366914,0.411764705882353,0.305656024865096,17.0,117.0
predicted_shape_main,synthetic_curriculum,sample_class:style:white_on_black,3,0.32173913043478264,0.20337418371350435,0.2745098039215686,0.23773246378396354,17.0,115.0
predicted_shape_main,synthetic_curriculum,sample_class:style:white_on_blue,3,0.24610591900311524,0.24015842831411877,0.3958333333333333,0.3442231592053814,16.0,107.0
predicted_shape_main,synthetic_curriculum,sample_class:style:white_on_green,3,0.3153153153153153,0.14043655196504412,0.21568627450980393,0.08985442539129099,17.0,111.0
predicted_shape_main,synthetic_curriculum,sample_class:style:white_on_red,3,0.38782051282051283,0.23948549799003385,0.1875,0.10825317547305482,16.0,104.0
predicted_shape_main,synthetic_curriculum,square,3,0.5111635220125786,0.15527491821110637,0.04111111111111111,0.036565517048676305,300.0,2120.0
predicted_shape_main,synthetic_static,overall,3,0.29458874458874457,0.16567688509639053,0.3288839451242121,0.2328829014850966,899.0,6160.0
predicted_shape_main,synthetic_static,rect,3,0.18679867986798682,0.17114906251905154,0.47301057317751805,0.3318356399080106,599.0,4040.0
predicted_shape_main,synthetic_static,sample_class:source:imported_sg,3,0.5103991006183249,0.14335218005975806,0.014861995753715499,0.01602937247403556,157.0,1186.0
predicted_shape_main,synthetic_static,sample_class:source:imported_usa,3,0.5063613231552163,0.16466859732685435,0.05263157894736842,0.05263157894736842,19.0,131.0
predicted_shape_main,synthetic_static,sample_class:source:native_eu,3,0.23601073714639687,0.17150211310902064,0.40433379437528816,0.2856693485814946,723.0,4843.0
predicted_shape_main,synthetic_static,sample_class:style:black_on_yellow,3,0.2393162393162393,0.23045245748226945,0.43137254901960786,0.3239747380756531,17.0,117.0
predicted_shape_main,synthetic_static,sample_class:style:white_on_black,3,0.3217391304347826,0.2110375843393321,0.2745098039215686,0.23773246378396354,17.0,115.0
predicted_shape_main,synthetic_static,sample_class:style:white_on_blue,3,0.22118380062305296,0.20525316398790197,0.4375,0.2724311839712921,16.0,107.0
predicted_shape_main,synthetic_static,sample_class:style:white_on_green,3,0.36036036036036034,0.17164467462394278,0.1764705882352941,0.10188534162169867,17.0,111.0
predicted_shape_main,synthetic_static,sample_class:style:white_on_red,3,0.3878205128205128,0.163838178450411,0.14583333333333334,0.07216878364870322,16.0,104.0
predicted_shape_main,synthetic_static,square,3,0.5,0.1556432237546742,0.04111111111111111,0.036565517048676305,300.0,2120.0
